ТЕСТ-СЬЮТ TS_7_1 ДЛЯ СИСТЕМНОГО ТЕСТУВАННЯ (ЛАБОРАТОРНА РОБОТА №7)
Програма: AlGhazali-task_7_1.exe
Компонент: Модуль обробки масивів та символьної інформації UNICODE

Тест-кейси:
1. ID: TC_7_1_01 | Вхід: Стандартний масив чисел | Очікується: Коректний розрахунок | Статус: PASSED
2. ID: TC_7_1_02 | Вхід: Порожній масив рядків | Очікується: Повідомлення про помилку | Статус: PASSED
3. ID: TC_7_1_03 | Вхід: Рядок у UTF-8 (українська мова) | Очікується: Коректне виведення без кракозябр | Статус: PASSED
4. ID: TC_7_1_04 | Вхід: Граничні числові значення | Очікується: Обробка без переповнення | Статус: PASSED
5. ID: TC_7_1_05 | Вхід: Символи з таблиці CP866 | Очікується: Правильна конвертація | Статус: PASSED
6. ID: TC_7_1_06 | Вхід: Символи латиниці | Очікується: Обробка рядка за алгоритмом | Статус: PASSED
7. ID: TC_7_1_07 | Вхід: Масив з від'ємними числами | Очікується: Вірне відсікання значень | Статус: PASSED
8. ID: TC_7_1_08 | Вхід: Рядок максимальної довжини | Очікується: Обробка без виходу за межі буфера | Статус: PASSED
9. ID: TC_7_1_09 | Вхід: Спеціальні знаки та пробіли | Очікується: Ігнорування або коректний підрахунок | Статус: PASSED
10. ID: TC_7_1_10 | Вхід: Нульові значення масиву | Очікується: Стабільна робота програми | Статус: PASSED

Висновок тестування: Програма успішно пройшла всі 10 системних тестів.
